"Z" "Zr" "d" "ConcConst" "CM.gw" "c" "alpha" "lambda" "meanM" "sdM" "meanSmM" "sdSmM" "meanP" "sdP" "meanCM" "sdCM" "minCM" "maxCM" "cum_flux" "Pzero"
"1" 4758.09250294697 357.72446833471 0.135769131216367 11.5054910397157 9.61524171754718 7.60634623875376 1.07180893882178 0.388931610458531 2.77628542457596 0.00164017045691959 11460.0041038886 3997.10841432423 123.478317214481 0.0311210090493906 70.6344243029969 24.6384330684517 28.0592074447321 113.177013564505 141.377473221633 0
"2" 4699.02836566325 377.973381086231 0.135721935109844 9.8678566084709 14.3467238824815 9.4068372505717 0.954344142694026 0.284440477658063 2.06034421501354 0.376706914041723 9361.82412605787 3462.16683996233 151.314712635628 14.2006501268155 85.5797940140281 86.8635078277606 13.6320402425912 1505.77844105651 145.290608717991 0
"3" 1706.64312131703 321.304346052971 0.147325503761289 2.99641858669929 8.62679505022243 9.26112070330419 1.11298521689605 0.857249183394015 2.33337879722973 0.000722799060433834 3009.17414767609 1054.75359610724 151.656470963567 0.0297800769268999 22.0678242338457 7.73584729493747 8.70587324865785 35.4306616230348 1329.4636747807 0
"4" 9848.47112779971 468.737144255542 0.150991789608263 5.78559079323895 13.7313474866096 7.67428490973543 1.096553036361 0.660472671175376 3.24427363411226 0.00113330944396849 5714.12303160578 1993.67595563892 110.253458877771 0.0242148218104174 30.1388170715845 10.5162011819898 11.9703117784304 48.3094784270712 28.8284251936136 0
"5" 637.439099256881 520.104270712652 0.147149969758162 3.1356968160253 1.37511676526628 6.06843352201395 1.15173551277258 0.940807623416185 4.70844392385033 0.0010603180940828 3173.96279193737 1108.23616459009 162.950586059084 0.0193520174513787 11.5350409924782 4.02789986389848 4.5747322407448 18.495000196631 11442.836110137 0
"6" 7112.68796003424 391.066711233964 0.0970845540190241 9.16917450609617 3.81237021647394 7.60035876766779 1.36636698266957 0.91104138516821 1.71596409090981 0.000496857040249548 9322.21043191283 3252.82643293865 175.176534420416 0.0279275084014555 92.9630937014446 32.4426134572345 36.9008208738783 149.044857435328 58.7144594111456 0
"7" 7889.77171853185 359.947546649833 0.106778497173747 7.07221057964489 2.41858185385354 3.75076813390478 0.64414484098088 0.943017467972822 6.61145982786395 0.00213556718233906 6719.56426737719 2347.48580074051 73.4992782979756 0.0159049582399184 17.3917626932983 6.0765579694392 6.8923381895358 27.8915223294583 46.8078747812438 0
"8" 569.700358551927 397.630624423131 0.22313120923534 10.6285839190241 11.5236105176155 9.54691879625898 1.2952307370957 0.57210332006216 4.38893729465969 0.00116869569893006 10847.5004288786 3785.90559369552 190.417756988381 0.0259222737198542 42.2926000097858 14.7615149648619 16.8023752351828 67.7970084211344 14627.8871499473 0
"9" 3520.21817362402 456.95109160968 0.263845138821557 5.03962524351664 2.46116302907467 5.77252699702512 1.00779492608272 0.843423641473055 181.853026760898 2.33305316061903 2031.29066069492 377.922775577825 0.0794935510941325 0.396556407001521 0.190978181596516 0.0347852806320489 0.137911216905903 0.251705662943122 -2930.64963003185 0
"10" 4952.09456398152 339.737036540344 0.185313158093451 13.1550951849204 6.56572469626553 8.07187257800251 0.933434842550196 0.789644303615205 4.24523173967179 0.00174968132371772 12823.4414791037 4472.7461791822 93.8976044503033 0.0261183439394464 51.6888604581142 18.0299894863719 20.528522164908 82.8564524740599 129.551994973487 0
"11" 3780.35411785822 419.786330098564 0.0640662125346302 0.426017978461459 5.84564919001423 2.87182840867899 1.2924959104741 0.714403154444881 4.02841966983656 0.00147880128312819 415.711875730598 145.359337776229 97.6728393096913 0.019492795866475 1.76584726729486 0.617508373364649 0.699064355012168 2.83262443306239 233.742801476413 0
"12" 9228.1906241551 324.80449190338 0.116309727039941 1.02306870510802 8.37254590820521 8.28312926052604 0.739379323460162 0.697965056286193 1.95305115739068 0.0012724752785968 1033.4033529268 360.89944879054 158.181262263414 0.0668103021974814 9.05453824636215 3.16303777738296 3.59292687754448 14.5268274560811 33.23330260744 0
"13" 8578.95824639127 496.301612489293 0.11259223593636 4.95340817724355 9.63325149030425 8.96764743782114 1.4697405458428 0.68925434446428 1.6767812042065 0.000475114058804696 5042.28219999074 1758.77776497119 178.138756665538 0.0288684409513954 51.4575701410779 17.9510438955315 20.439615557921 82.4664432724074 38.9782801971258 0
"14" 6452.71174365189 477.309774139091 0.208194890435806 13.9893302426208 7.24670798052102 3.29169201664627 1.38801350514404 0.908120370074175 178.985478146708 20.9696679419614 3443.41628073089 1046.34742808305 2.28184983545259e-05 9.09903535341585e-05 0.324165832271413 0.076299576798501 0.241908895479264 0.472426440510154 -2185.79229677581 0
"15" 1880.98103238735 400.84261170179 0.136928784692996 6.80318485130556 6.2999740219675 6.26119743683375 1.08807776905596 0.820696859317832 3.8874941104587 0.00153280296341345 6697.97825240676 2337.17218551235 106.123563174132 0.0207186144408745 29.4830106574625 10.2887800906696 11.7023952465302 47.2560033732076 1074.84629873491 0
"16" 6474.01980869472 339.353921353138 0.121306989368451 4.84136107494123 11.6125522227958 3.75570369360503 1.11607144202571 0.53958261073567 9.12440886379783 0.00392817736552864 4524.81664559459 1581.24041165714 63.8686540668257 0.0140275956316177 8.48578994499297 2.96562656717924 3.35555213930981 13.6085301553923 72.1198022937644 0
"17" 5107.59418550879 369.894134696344 0.165520752266081 14.1152987047099 11.1486933636479 5.57682383165229 0.887105669220909 0.787327360338531 7.30369525786266 0.00274204363588233 13358.411650239 4664.56460910722 70.5644903692657 0.022418580070242 31.2973780685241 10.9294110135466 12.4315346313427 50.1835882534805 121.086282848358 0
